# poeAI opening book v1
# format: prefix_usi_moves|bestmove|count
# empty prefix means startpos
2g2f 3c3d 7g7f 4a3b 2f2e 8c8d 6i7h 8d8e 2e2d 2c2d 2h2d 8e8f 8g8f|8b8f|550
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 2e2d 2c2d 2h2d P*2c 2d2h 7a7b 7g7f|8e8f|550
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 2e2d 2c2d 2h2d P*2c 2d2f 7a7b 1g1f|1c1d|547
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 6i7h 8e8f 8g8f 8b8f 2e2d 2c2d 2h2d|P*2c|542
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 3i3h|2b3c|510
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 9g9f|2b3c|495
2g2f 3c3d 7g7f 4c4d 3i4h 9c9d 5i6h 3a3b 2f2e 2b3c 3g3f 3b4c 4i5h|9d9e|492
2g2f 3c3d 7g7f 4c4d 3i4h 8b4b 9g9f 9c9d 5i6h 7a7b 5g5f 3a3b 4i5h|3b4c|486
2g2f 8c8d 7g7f 3c3d 2f2e 8d8e 2e2d 2c2d 2h2d 8e8f 8g8f 4a3b 6i7h|8b8f|481
7g7f 4a3b 2g2f 8c8d 2f2e 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 3i3h|2b3c|475
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 2e2d 2c2d 2h2d P*2c 2d2h 5a5b 7g7f|8e8f|469
7g7f 3c3d 2g2f 8c8d 6i7h 8d8e 2f2e 4a3b 2e2d 2c2d 2h2d 8e8f 8g8f|8b8f|467
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 7a7b 9g9f 5a5b 4g4f 8e8f 8g8f|8b8f|458
2g2f 8c8d 2f2e 4a3b 7g7f 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 3i3h|2b3c|456
7g7f 8c8d 2g2f 8d8e 2f2e 4a3b 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 3i3h|2b3c|444
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 6i7h|2b3c|413
7g7f 3c3d 6i7h 4a3b 2g2f 8c8d 2f2e 8d8e 2e2d 2c2d 2h2d 8e8f 8g8f|8b8f|407
7g7f 3c3d 2g2f 4a3b 2f2e 8c8d 6i7h 8d8e 2e2d 2c2d 2h2d 8e8f 8g8f|8b8f|396
2g2f 8c8d 7g7f 8d8e 2f2e 4a3b 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 6i7h|2b3c|386
7g7f 8c8d 2g2f 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a4b 3i3h 7a6b 2f2e|4b3c|381
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 2e2d 2c2d 2h2d P*2c 2d2h 8e8f 8g8f|8b8f|378
2g2f 8c8d 2f2e 8d8e 7g7f 3c3d 6i7h 4a3b 2e2d 2c2d 2h2d 8e8f 8g8f|8b8f|378
2g2f 3c3d 7g7f 4c4d 3i4h 3a3b 2f2e 2b3c 3g3f 3b4c 5i6h 9c9d 4i5h|9d9e|376
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 3i4h|2b3c|373
5g5f 3c3d 2h5h 7a6b 5f5e 5a4b 5i4h 1c1d 1g1f 8c8d 7g7f 6a5b 4h3h|8d8e|361
2g2f 8c8d 2f2e 8d8e 2e2d 2c2d 2h2d 8e8f 8g8f P*8g P*2c 8g8h+ 7i8h|B*3e|358
2g2f 8c8d 7g7f 8d8e 2f2e 4a3b 8h7g 3c3d 7i7h 2b7g+ 7h7g 3a2b 1g1f|1c1d|358
2g2f 8c8d 2f2e 4a3b 6i7h 8d8e 3i3h 7a7b 9g9f 9c9d 3g3f 8e8f 8g8f|8b8f|353
2g2f 3c3d 7g7f 8c8d 2f2e 4a3b 6i7h 8d8e 2e2d 2c2d 2h2d 8e8f 8g8f|8b8f|346
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 7a7b 9g9f 5a5b 4g4f 3c3d 2e2d|2c2d|346
7g7f 8c8d 2g2f 8d8e 2f2e 4a3b 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 6i7h|2b3c|341
7g7f 3c3d 2g2f 8c8d 2f2e 4a3b 6i7h 8d8e 2e2d 2c2d 2h2d 8e8f 8g8f|8b8f|336
2g2f 8c8d 2f2e 4a3b 7g7f 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 6i7h|2b3c|330
7g7f 3c3d 2g2f 8c8d 2f2e 8d8e 2e2d 2c2d 2h2d 4a3b 6i7h 8e8f 8g8f|8b8f|330
7g7f 8c8d 2g2f 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 2f2e 2b3c 3i3h|4a3b|324
7g7f 8c8d 2g2f 8d8e 2f2e 4a3b 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 6i7h|2b3c|307
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 7a7b 9g9f 5a5b 4g4f 7c7d 2e2d|2c2d|305
2g2f 8c8d 2f2e 4a3b 7g7f 8d8e 6i7h 8e8f 8g8f 8b8f 2e2d 2c2d 2h2d|P*2c|299
2h7h 8b4b 7i6h 7a7b 7g7f 6c6d 5i4h 7b6c 3i3h 1c1d 1g1f 3c3d 4h3i|6a7b|294
2g2f 8c8d 7g7f 3c3d 6i7h 8d8e 2f2e 4a3b 2e2d 2c2d 2h2d 8e8f 8g8f|8b8f|283
2g2f 4a3b 2f2e 8c8d 7g7f 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 1g1f|1c1d|279
7g7f 8c8d 2g2f 8d8e 2f2e 4a3b 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 1g1f|1c1d|278
2g2f 3c3d 7g7f 4c4d 2f2e 2b3c 3i4h 3a3b 5i6h 3b4c 4i5h 9c9d 9g9f|8b4b|277
2g2f 8c8d 2f2e 4a3b 6i7h 8d8e 3i3h 7a7b 9g9f 1c1d 3g3f 8e8f 8g8f|8b8f|274
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 7a7b 9g9f 3c3d 2e2d 2c2d 2h2d|8e8f|263
2g2f 8c8d 2f2e 4a3b 6i7h 8d8e 3i3h 7a7b 9g9f 5a5b 4g4f 9c9d 3h4g|7c7d|261
2g2f 3c3d 7g7f 2b8h+ 7i8h 3a2b 3g3f 2b3c 3i4h 9c9d 9g9f 8b2b 2f2e|5a6b|256
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 1c1d 9g9f 7a7b 3g3f 8e8f 8g8f|8b8f|253
7g7f 3c3d 2g2f 4a3b 2f2e 8c8d 6i7h 5a4b 2e2d 2c2d 2h2d P*2h 2d2h|8d8e|252
2g2f 3c3d 7g7f 8c8d 2f2e 8d8e 2e2d 2c2d 2h2d 4a3b 6i7h 8e8f 8g8f|8b8f|250
7g7f 8c8d 2g2f 4a3b 6i7h 8d8e 8h7g 3c3d 7i8h 4c4d 2f2e 2b3c 3i4h|3a4b|241
2g2f 3c3d 7g7f 4c4d 3i4h 9c9d 9g9f 3a3b 4i5h 3b4c 5i6h 2b3c 2f2e|8b4b|239
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i7h 2b7g+ 7h7g 3a2b 1g1f|1c1d|238
2h7h 8c8d 7g7f 5a4b 7f7e 7a6b 1g1f 1c1d 5i4h 4b3b 4h3h 6c6d 5g5f|3c3d|235
7g7f 8c8d 7i6h 3c3d 6h7g 7c7d 2g2f 7a6b 2f2e 4a3b 2e2d 2c2d 2h2d|8d8e|230
2g2f 4a3b 2f2e 8c8d 7g7f 8d8e 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 1g1f|1c1d|224
2g2f 8c8d 7g7f 4a3b 2f2e 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 1g1f|1c1d|220
7g7f 3c3d 6g6f 3a3b 7i6h 7a6b 6h7g 5a4b 6i7h 2b5e 5g5f 5e6d 6f6e|4c4d|216
2g2f 8c8d 7g7f 4a3b 2f2e 8d8e 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 6i7h|2b3c|212
2g2f 8c8d 2f2e 4a3b 7g7f 8d8e 8h7g 3c3d 7i6h 2b3c 2e2d 2c2d 6i7h|3a2b|210
2g2f 8c8d 7g7f 8d8e 2f2e 4a3b 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 1g1f|1c1d|207
2g2f 8c8d 2f2e 4a3b 7g7f 8d8e 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 3i3h|2b3c|206
2g2f 8c8d 7g7f 8d8e 2f2e 4a3b 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 1g1f|1c1d|205
7g7f 8c8d 7i6h 3c3d 6g6f 7a6b 5g5f 5c5d 3i4h 3a4b 4i5h 4a3b 6i7h|5a4a|201
7g7f 3c3d 2g2f 4c4d 2f2e 2b3c 3i4h 3a3b 5i6h 3b4c 4i5h 9c9d 9g9f|8b4b|200
2g2f 8c8d 7g7f 8d8e 2f2e 4a3b 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 6i7h|2b3c|198
2g2f 8c8d 2f2e 4a3b 6i7h 8d8e 3i3h 7a7b 9g9f 5a5b 4g4f 8e8f 8g8f|8b8f|196
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 2e2d 2c2d 2h2d P*2c 2d2f 3c3d 2f3f|3b3c|195
2h7h 8c8d 7g7f 8d8e 8h7g 3c3d 6g6f 1c1d 1g1f 5a4b 5i4h 7a6b 7i6h|4b3b|194
7g7f 8c8d 2g2f 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 2f2e 2b3c 3i4h|7a6b|194
2g2f 8c8d 2f2e 4a3b 7g7f 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 9g9f|2b3c|193
2h7h 8c8d 7g7f 5a4b 7f7e 7a6b 5i4h 3c3d 6g6f 4b3b 3i3h 6c6d 4h3i|1c1d|191
7g7f 3c3d 2g2f 4a3b 2f2e 8c8d 5i5h 8d8e 2e2d 2c2d 2h2d 8e8f 8g8f|8b8f|191
2g2f 8c8d 7g7f 4a3b 2f2e 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 6i7h|2b3c|187
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 8e8f 8g8f 8b8f P*8g 8f8d 9g9f|3c3d|180
7g7f 3c3d 2g2f 8c8d 2f2e 8d8e 6i7h 8e8f 8g8f 8b8f 2e2d 2c2d 2h2d|4a3b|174
2g2f 8c8d 2f2e 4a3b 7g7f 8d8e 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b B*5e|5c5d|172
2g2f 8c8d 7g7f 8d8e 2f2e 4a3b 6i7h 8e8f 8g8f 8b8f 2e2d 2c2d 2h2d|P*2c|171
2g2f 3c3d 7g7f 8c8d 2f2e 8d8e 6i7h 8e8f 8g8f 8b8f 2e2d 2c2d 2h2d|4a3b|170
2g2f 8c8d 7g7f 3c3d 2f2e 4a3b 6i7h 5a4b 2e2d 2c2d 2h2d P*2h 2d2h|8d8e|170
2g2f 8c8d 2f2e 8d8e 9g9f 4a3b 3i3h 8e8f 8g8f 8b8f 6i7h 7a7b P*8g|8f8b|169
2g2f 3c3d 2f2e 4a3b 2e2d 2c2d 2h2d 8c8d 2d2h P*2c 7g7f 2c2d 2h2d|2b8h+|167
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 3i4h|2b3c|167
2g2f 8c8d 7g7f 8d8e 2f2e 4a3b 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 3i3h|2b3c|167
2h7h 8c8d 7g7f 8d8e 8h7g 3c3d 6g6f 5a4b 5i4h 4b3b 1g1f 7a6b 1f1e|2b3c|166
7g7f 8c8d 2g2f 4a3b 2f2e 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 6i7h|2b3c|164
7g7f 8c8d 2g2f 8d8e 2f2e 4a3b 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 1g1f|1c1d|164
2g2f 3c3d 7g7f 5c5d 2f2e 8b5b 5i6h 5d5e 3i4h 2b3c 3g3f 3a4b 4h3g|4b5c|163
2h7h 8c8d 7g7f 8d8e 8h7g 3c3d 6g6f 1c1d 1g1f 5a4b 3i3h 7a6b 5i4h|6a5b|163
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 9c9d 9g9f 7a7b 3g3f 8e8f 8g8f|8b8f|159
7g7f 8b5b 2h7h 5a6b 7f7e 6b7b 7e7d 7c7d 7h7d 7b8b 8i7g 5b7b 7d7b+|7a7b|156
2g2f 3c3d 7g7f 4c4d 3i4h 8b4b 9g9f 9c9d 5i6h 5a6b 5g5f 3a3b 4i5h|7a7b|154
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 2e2d 2c2d 2h2d P*2c 2d2f 7a7b 9g9f|5a4b|154
7g7f 5a4b 6i7h 7a7b 7i6h 3a3b 4i5h 6c6d 8h5e 7b6c 6h7g 1c1d 5i6h|8c8d|151
7g7f 8c8d 2g2f 8d8e 8h7g 3c3d 7i8h 4a3b 6i7h 4c4d 2f2e 2b3c 3i4h|3a4b|150
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 2e2d 2c2d 2h2d P*2c 2d2f 3c3d 1g1f|1c1d|149
7g7f 8c8d 2g2f 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a4b 3i3h 4a3b 5i6h|4b3c|149
2g2f 8c8d 2f2e 4a3b 6i7h 8d8e 3i3h 1c1d 9g9f 7a7b 3g3f 8e8f 8g8f|8b8f|147
2g2f 8c8d 7g7f 4a3b 2f2e 8d8e 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 1g1f|1c1d|146
2g2f 8c8d 7g7f 4a3b 6i7h 8d8e 8h7g 3c3d 7i8h 4c4d 2f2e 2b3c 3i4h|3a4b|145
7g7f 8c8d 2g2f 8d8e 2f2e 4a3b 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 3i4h|2b3c|144
2g2f 8c8d 7g7f 4a3b 2f2e 8d8e 8h7g 3c3d 7i7h 2b7g+ 7h7g 3a2b 1g1f|1c1d|143
2g2f 8c8d 2f2e 4a3b 7g7f 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 3i4h|2b3c|142
7g7f 8c8d 2g2f 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 2f2e 4a3b 3i3h|2b3c|142
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 2e2d 2c2d 2h2d P*2c 2d2h 5a5b 3i3h|7a7b|141
7g7f 8c8d 2g2f 8d8e 2f2e 4a3b 8h7g 3c3d 7i7h 2b7g+ 7h7g 3a2b 6i7h|2b3c|141
7g7f 8c8d 2g2f 4a3b 2f2e 8d8e 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 1g1f|1c1d|139
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 8e8f 8g8f 8b8f P*8g 8f8d 7g7f|3c3d|138
7g7f 8c8d 2g2f 4a3b 2f2e 8d8e 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 1g1f|1c1d|138
7g7f 8c8d 2g2f 4a3b 2f2e 8d8e 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 6i7h|2b3c|138
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 7g7f 8e8f 8g8f 8b8f 7i6h 8f7f 6h7g|7f7d|137
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 7a7b 9g9f 5a5b 2e2d 2c2d 2h2d|P*2c|136
5i6h 8c8d 4i5i 8d8e 2h5h 8e8f 8g8f 8b8f 6i7h P*8g P*8b 8f8b 7h8g|8b8g+|136
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 2e2d 2c2d 2h2d P*2c 2d2h 5a5b 3i4h|1c1d|134
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i6h 2b3c 2e2d 2c2d 6i7h|3a2b|133
2g2f 8c8d 7g7f 8d8e 8h7g 3c3d 7i8h 4a3b 3i3h 7a6b 2f2e 2b7g+ 8h7g|3a2b|133
2g2f 3c3d 7g7f 4c4d 2f2e 2b3c 5i6h 8c8d 6h7h 8b2b 7i6h 5a6b 4i5i|2c2d|132
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 7a7b 9g9f 8e8f 8g8f 8b8f P*8g|8f8b|132
2h7h 8c8d 7g7f 8d8e 8h7g 5a4b 1g1f 1c1d 6g6f 3c3d 3i3h 7a6b 5i4h|4b3b|132
2g2f 8c8d 2f2e 4a3b 7g7f 8d8e 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 6i7h|2b3c|129
2g2f 8c8d 6i7h 8d8e 2f2e 4a3b 3i3h 7a7b 9g9f 5a5b 2e2d 2c2d 2h2d|P*2c|129
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 3g3f|2b3c|128
2g2f 8c8d 2f2e 4a3b 6i7h 8d8e 3i3h 7a7b 9g9f 3c3d 2e2d 2c2d 2h2d|8e8f|127
2g2f 3c3d 7g7f 4c4d 3i4h 9c9d 5i6h 9d9e 5g5f 8b4b 6h7h 2b3c 8h7g|3a3b|126
2g2f 8c8d 7g7f 8d8e 2f2e 4a3b 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 3i4h|2b3c|124
7g7f 3c3d 2g2f 4c4d 2f2e 2b3c 3i4h 3a3b 5i6h 8b4b 5g5f 5a6b 6h7h|6b7b|124
2g2f 3c3d 7g7f 4c4d 2f2e 2b3c 5i6h 3a3b 6h7h 8b4b 4i5h 5a6b 8h7g|4a5b|123
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 2e2d 2c2d 2h2d P*2c 2d2f 3c3d 9g9f|7a7b|123
7g7f 8c8d 2g2f 8d8e 8h7g 4a3b 2f2e 3c3d 7i8h 2b7g+ 8h7g 3a2b 3i3h|2b3c|119
7g7f 8c8d 7i6h 3c3d 6h7g 7a7b 2g2f 6c6d 2f2e 4a3b 6i7h 7c7d 2e2d|2c2d|119
2g2f 3c3d 7g7f 4c4d 2f2e 2b3c 5i6h 3a3b 3i4h 3b4c 4i5h 9c9d 3g3f|9d9e|117
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 2e2d 2c2d 2h2d P*2c 2d2f 7a7b 3i3h|6c6d|116
2g2f 8c8d 2f2e 8d8e 7g7f 3c3d 6i7h 8e8f 8g8f 8b8f 2e2d 2b8h+ 7i8h|B*3c|115
2g2f 3c3d 7g7f 4c4d 2f2e 2b3c 5i6h 8b5b 4i5h 5a6b 6h7h 6a7b 3g3f|4a3b|114
2g2f 8c8d 7g7f 8d8e 2f2e 4a3b 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 3i4h|2b3c|113
7g7f 8c8d 2g2f 8d8e 2f2e 4a3b 6i7h 8e8f 8g8f 8b8f 2e2d 2c2d 2h2d|P*2c|113
2g2f 3a4b 2f2e 3c3d 2e2d 2c2d 2h2d 4a3b 2d3d 4b3c 3d3f 5a4a 3f2f|P*2c|112
7g7f 8c8d 2g2f 3c3d 2f2e 8d8e 6i7h 8e8f 8g8f 8b8f 2e2d 2c2d 2h2d|4a3b|112
7g7f 8c8d 2g2f 8d8e 8h7g 3c3d 7i8h 4a3b 2f2e 2b7g+ 8h7g 3a2b 6i7h|2b3c|112
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i7h 2b7g+ 7h7g 3a2b 6i7h|2b3c|111
2h7h 8c8d 7g7f 5a4b 7f7e 1c1d 1g1f 6c6d 5i4h 7a6b 3i3h 4b3b 4h3i|3a4b|111
2g2f 3c3d 7g7f 9c9d 2f2e 9d9e 5i6h 2b8h+ 7i8h 3a2b 3i4h 2b3c 4i5h|8b2b|110
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 7a7b 7g7f 8e8f 8g8f 8b8f 2e2d|2c2d|110
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 7g7f 3c3d 2e2d 2c2d 2h2d 8e8f 8g8f|8b8f|109
7g7f 3c3d 2g2f 4c4d 2f2e 2b3c 3i4h 8b4b 5i6h 9c9d 6h7h 9d9e 4i5h|7a7b|109
7g7f 8c8d 2g2f 3c3d 2f2e 4a3b 6i7h 8d8e 2e2d 2c2d 2h2d 8e8f 8g8f|8b8f|109
2g2f 8c8d 2f2e 4a3b 6i7h 8d8e 3i3h 9c9d 9g9f 7a7b 3g3f 8e8f 8g8f|8b8f|108
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 3i3h 8e8f 8g8f 8b8f P*8g 8f8b 1g1f|3c3d|107
7g7f 8c8d 2g2f 3c3d 2f2e 4a3b 5i5h 8d8e 2e2d 2b8h+ 7i8h 2c2d 2h2d|B*3c|107
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 6i7h 8e8f 8g8f 8b8f 7i6h 8f7f 6h7g|7f7d|106
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i7h 2b7g+ 7h7g 3a2b 3i3h|2b3c|106
2h7h 8c8d 7g7f 5a4b 7f7e 7a6b 5i4h 3c3d 6g6f 4b3b 3i3h 6c6d 6i5h|1c1d|105
7g7f 8c8d 2g2f 8d8e 8h7g 3c3d 7i8h 5a4b 6i7h 2b7g+ 8h7g 6a5b 2f2e|3a2b|104
7g7f 8c8d 7i6h 3c3d 6h7g 7c7d 2g2f 7a6b 2f2e 4a3b 6i7h 6b7c 2e2d|2c2d|104
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 2e2d 2c2d 2h2d P*2c 2d2h 3c3d 7g7f|8e8f|103
2g2f 8c8d 7g7f 3c3d 2f2e 4a3b 6i7h 8d8e 2e2d 2c2d 2h2d 8e8f 8g8f|8b8f|103
2g2f 8c8d 7g7f 8d8e 8h7g 3c3d 7i8h 4a3b 2f2e 2b7g+ 8h7g 3a2b 6i7h|2b3c|103
7g7f 5a4b 2g2f 3c3d 2f2e 4a3b 2e2d 2c2d 2h2d 2b8h+ 7i8h P*2c 2d2h|3a2b|103
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 6i7h 3c3d 2e2d 2c2d 2h2d 8e8f 8g8f|8b8f|102
2g2f 8c8d 6i7h 8d8e 2f2e 4a3b 7g7f 8e8f 8g8f 8b8f 2e2d 2c2d 2h2d|P*2c|102
2g2f 8c8d 7g7f 8d8e 2f2e 4a3b 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 3i3h|2b3c|101
2g2f 8c8d 7g7f 8d8e 2f2e 4a3b 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 3g3f|2b3c|101
7g7f 8c8d 2g2f 8d8e 2f2e 4a3b 8h7g 3c3d 7i8h 2b7g+ 8h7g 3a2b 3i4h|2b3c|101
7g7f 8c8d 2g2f 8d8e 8h7g 3c3d 7i8h 4a3b 2f2e 5a4b 3i3h 7a7b 6i7h|7c7d|101
2g2f 8c8d 2f2e 8d8e 6i7h 4a3b 2e2d 2c2d 2h2d P*2c 2d2f 3c3d 5i6h|7a6b|100
7g7f 3c3d 2g2f 4c4d 2f2e 2b3c 7i7h 8b4b 9g9f 9c9d 4i5h 7a7b 3i4h|5a6b|100
7g7f 8c8d 2g2f 8d8e 2f2e 4a3b 8h7g 3c3d 7i6h 2b7g+ 6h7g 3a2b 3i3h|2b3c|99
2g2f 8c8d 2f2e 4a3b 6i7h 8d8e 3i3h 7a7b 9g9f 8e8f 8g8f 8b8f P*8g|8f8b|98
2g2f 8c8d 2f2e 8d8e 7g7f 4a3b 8h7g 3c3d 7i6h 5a4b 2e2d 2c2d 2h2d|8e8f|98
